5.033731,47.336956,50;
5.080694,47.253334,90;
5.079902,47.316757,90;
5.495277,47.173363,90;
5.458992,47.074867,90;
5.058861,47.256359,90;
5.111040,47.437447,90;
5.071750,47.316223,50;
5.001335,47.270447,70;
5.256658,47.218460,50;
5.420333,47.086773,130;
5.059805,47.336140,;
5.057138,47.336529,;
5.005707,47.327190,70;
5.281072,47.208923,90;
5.013833,47.313721,;
5.013499,47.313339,;
5.049728,47.305199,;
5.037910,47.309391,;
5.044468,47.316071,;
5.051819,47.341110,;
5.051014,47.341568,;
5.034426,47.384979,90;
5.179754,47.641701,130;
5.497166,47.816444,90;
5.369350,47.857578,90;
5.292703,47.661098,70;
5.194555,47.735554,130;
5.330555,47.858665,;
5.311629,47.772217,50;
5.274061,47.958660,90;
5.179035,47.644882,130;
5.156666,48.376945,70;
5.142277,48.105251,50;
5.078027,48.107887,90;
5.113231,48.484589,90;
5.401555,48.037056,90;
5.114409,48.272385,90;
5.050222,48.138611,70;
5.487222,48.285137,50;
5.152957,48.099293,;
5.152056,48.446056,50;
5.143969,48.114548,;
5.153521,48.098896,;
5.112062,48.277641,90;
5.065959,48.055866,90;
5.121361,48.749054,90;
5.152694,48.767502,50;
5.425207,48.703465,90;
5.257055,48.662834,;
5.031111,48.603054,70;
5.337392,48.693211,110;
5.240111,48.917805,50;
5.196306,48.784279,90;
5.065858,48.643112,110;
5.440611,48.896393,50;
5.235877,49.090656,130;
5.383251,49.147209,90;
5.434694,49.135944,50;
5.435315,49.033871,50;
5.092500,49.675278,90;
5.372363,49.696899,50;
5.490833,49.538891,50;
5.355095,49.688179,70;
5.316667,49.697224,50;
5.494920,49.577831,50;
5.450169,49.691391,70;
5.028601,49.753159,110;
5.206333,50.167137,50;
5.220388,50.144638,70;
5.347694,50.275639,90;
5.347916,50.275639,90;
5.113640,50.265072,50;
5.276510,50.368938,70;
5.154049,50.338829,50;
5.372424,50.298130,70;
5.235438,50.387203,50;
5.207480,50.252556,50;
5.290817,50.294685,70;
5.105306,50.347237,90;
5.330416,50.607803,50;
5.313888,50.568195,70;
5.352777,50.613472,70;
5.343690,50.943798,;
5.414083,50.585583,50;
5.451027,50.687889,70;
5.355062,50.881985,70;
5.492666,50.700085,50;
5.187457,50.709358,50;
5.359944,50.931583,50;
5.493500,50.980221,70;
5.493972,50.979389,70;
5.484916,50.978085,50;
5.494055,50.980221,90;
5.317111,50.936943,90;
5.360500,50.932056,90;
5.353777,50.919415,90;
5.341771,50.939735,70;
5.345555,50.948193,70;
5.323333,50.919556,90;
5.343055,50.914387,90;
5.316111,50.894722,90;
5.130111,50.746334,50;
5.130555,50.746971,50;
5.057472,50.802834,50;
5.065944,50.803776,50;
5.116888,50.809250,50;
5.191555,50.810139,70;
5.193583,50.811943,70;
5.197638,50.816113,70;
5.206666,50.818806,90;
5.210277,50.799442,70;
5.227694,50.827221,90;
5.228277,50.827915,90;
5.244750,50.853748,90;
5.198194,50.816639,70;
5.269166,50.863667,90;
5.272083,50.952389,50;
5.274805,50.951305,50;
5.306789,50.923737,50;
5.306944,50.888889,90;
5.314777,50.928471,90;
5.316666,50.936111,90;
5.317555,50.924999,90;
5.319508,50.952286,50;
5.321444,50.951389,50;
5.322527,50.919971,90;
5.341111,50.940140,90;
5.342331,50.940025,90;
5.341805,50.914028,90;
5.343194,50.943611,70;
5.345416,50.947639,70;
5.348055,50.943638,70;
5.349972,50.938610,90;
5.353444,50.919056,90;
5.359444,50.985138,90;
5.359000,50.985973,90;
5.360361,50.930943,90;
5.343194,50.944164,70;
5.448416,50.922585,70;
5.493500,50.979584,90;
5.269861,50.864025,90;
5.207361,50.819305,90;
5.342222,50.932861,50;
5.035861,50.713028,70;
5.352422,50.883995,70;
5.316388,50.936665,70;
5.315416,50.927917,90;
5.318250,50.924332,90;
5.349416,50.938610,90;
5.341915,50.940483,70;
5.244611,50.853306,90;
5.211027,50.799000,70;
5.361055,50.931583,90;
5.056500,50.802692,50;
5.191888,50.810555,70;
5.317333,50.936474,70;
5.307194,50.889305,90;
5.193722,50.812500,70;
5.326111,50.916943,70;
5.326666,50.917637,70;
5.438888,50.539307,90;
5.410861,50.516972,90;
5.433472,50.531303,90;
5.393444,50.501389,90;
5.221666,50.543610,50;
5.265277,50.610832,50;
5.309114,50.543938,50;
5.291250,50.572224,70;
5.448055,50.922333,70;
5.147277,50.543331,70;
5.212194,50.538418,50;
5.267194,50.561554,50;
5.335666,50.548805,90;
5.018555,50.623222,50;
5.074805,50.667694,50;
5.072777,50.676025,50;
5.193055,50.603863,70;
5.062083,50.582027,70;
5.062666,50.550304,50;
5.225222,50.570862,90;
5.260277,50.545944,70;
5.469562,50.625324,50;
5.357277,50.565639,50;
5.263750,50.572613,50;
5.369829,50.560642,50;
5.066222,50.661835,50;
5.082722,50.632362,50;
5.490444,50.647415,50;
5.484444,50.958832,50;
5.260856,50.661118,50;
